"lang" 
{ 
"Language" "English" 
"Tokens" 
{ 

"GameUI_Error"	"Error"
"Workshop_Publisher_Status_UploadingPreviewFile"	"Uploading preview file..."
"Workshop_Publisher_Status_CommittingChanges"		"Committing changes..."
"Workshop_Publisher_Status_Finished"				"Upload finished."

"Workshop_Publisher_VPK_PackDir"			"Pack directory to VPK"
"Workshop_Publisher_VPK_Save"				"Save packed VPK..."
"Workshop_Publisher_VPK_Overwrite"			"%s1 already exists, do you wish to overwrite it?"

"Workshop_Publisher_Error_NoSteam"			"Steam Workshop is not available. Check your network connection or try again later."
"Workshop_Publisher_Error_NoTitle"			"The add-on needs a title."
"Workshop_Publisher_Error_NoContentPath"	"Empty content path specified."
"Workshop_Publisher_Error_NoPreviewPath"	"Empty preview image path specified."
"Workshop_Publisher_Error_NoContentPathExisting"	"Empty content path specified. (Select \"Keep existing\" to use existing content.)"
"Workshop_Publisher_Error_NoPreviewPathExisting"	"Empty preview image path specified. (Select \"Keep existing\" to use existing preview.)"
"Workshop_Publisher_Error_TooBigPreview"	"Preview file is too large, file size limit is 1 MB."
"Workshop_Publisher_Error_PublisherError"	"Publisher Error"
"Workshop_Publisher_Error_UploadFailed"		"An error has occurred, your add-on has not been published. (Error code: %s1)"
"Workshop_Publisher_Error_InvalidBSP"		"Invalid BSP! The file might be incompatible or corrupted."

"Workshop_Publisher_MissingNMO"			"Selected objective map is missing a .nmo file! Make sure this file is in the same directory as the chosen BSP.\nIf you publish this map, objectives will not work."
"Workshop_Publisher_MissingNAV"			"Selected map is missing a .nav file! Make sure this file is in the same directory as the chosen BSP.\nIf you publish this map, zombies may fail to navigate."
"Workshop_Publisher_MissingNMOAndNAV"	"Selected objective map is missing both .nmo and .nav files! Make sure these files are in the same directory as the chosen BSP.\nIf you publish this map, objectives will not work and zombies may fail to navigate."

"VPKTools_Error"						"VPK Error"
"VPKTools_Error_Name"					"Error: %s1"
"VPKTools_Error_BadFileExtension"		"Error: Banned file extension \"%s1\" found!"
"VPKTools_Error_FailedToPack"			"Failed to pack add-on to VPK!"
"VPKTools_Error_FailedToPackDir"		"Failed to pack directory into VPK!"
"VPKTools_Error_NotValid"				"Your VPK is not valid and can't be uploaded to Workshop!"

"VPKTools_Error_FileNotFound"			"File is invalid or does not exist."
"VPKTools_Error_FileEmpty"				"File is empty."
"VPKTools_Error_FileNotOK"				"File handle is not OK. (Possibly invalid, corrupted or missing file)"
"VPKTools_Error_BadSignature"			"Bad signature."
"VPKTools_Error_BadVersion"				"VPK version not supported."
"VPKTools_Error_BannedFileExtension"	"Found banned file extension."
"VPKTools_Error_CfgFilesNotAllowed"		"Configuration (cfg) files are not allowed, please remove the \"cfg\" folder from the VPK."
} 
}  
