"lang"
{
"Language" "Français (French)"
"Reload.Alt1.Load9" "Neuf balles restantes!"
"Reload.Alt1.Load8" "Huit balles restantes!"
"Reload.Alt1.Load7" "Sept balles restantes!"
"Reload.Alt1.Load6" "Six balles restantes!"
"Reload.Alt1.Load5" "Cinq balles restantes!"
"Reload.Alt1.Load4" "Quatre balles restantes!"
"Reload.Alt1.Load3" "Trois balles restantes!"
"Reload.Alt1.Load2" "Deux balles restantes!"
"Reload.Alt1.Load1" "Une balle restante!"
"Reload.Alt1.Load0" "Zéro balle restante!"

//eng"Reload.Alt2.PlentyLoad"	"I have plenty of loads."
"Reload.Alt2.Load10" "Dix balles restantes!"
"Reload.Alt2.Load9" "Neuf balles restantes!"
"Reload.Alt2.Load8" "Huit balles restantes!"
"Reload.Alt2.Load7" "Sept balles restantes!"
"Reload.Alt2.Load6" "Six balles restantes!"
"Reload.Alt2.Load5" "Cinq balles restantes!"
"Reload.Alt2.Load4" "Quatre balles restantes!"
"Reload.Alt2.Load3" "Trois balles restantes!"
"Reload.Alt2.Load2" "Deux balles restantes!"
"Reload.Alt2.Load1" "Une balle restante!"
"Reload.Alt2.Load0" "Zéro balle restante!"

//eng"Reload.Alt3.PlentyLoad"	"I have plenty of loads."
"Reload.Alt3.Load15" "Quinze balles restantes!"
"Reload.Alt3.Load14" "Quatorze balles restantes!"
"Reload.Alt3.Load13" "Treize balles restantes!"
"Reload.Alt3.Load12" "Douze balles restantes!"
"Reload.Alt3.Load11" "Onze balles restantes!"
"Reload.Alt3.Load10" "Dix balles restantes!"
"Reload.Alt3.Load9" "Neuf balles restantes!"
"Reload.Alt3.Load8" "Huit balles restantes!"
"Reload.Alt3.Load7" "Sept balles restantes!"
"Reload.Alt3.Load6" "Six balles restantes!"
"Reload.Alt3.Load5" "Cinq balles restantes!"
"Reload.Alt3.Load4" "Quatre balles restantes!"
"Reload.Alt3.Load3" "Trois balles restantes!"
"Reload.Alt3.Load2" "Deux balles restantes!"
"Reload.Alt3.Load1" "Une balle restante!"
"Reload.Alt3.Load0" "Zéro balle restante!"

//eng"Reload.Alt4.PlentyLoad"	"I have plenty of loads."
"Reload.Alt4.Load15" "Quinze balles restantes!"
"Reload.Alt4.Load14" "Quatorze balles restantes!"
"Reload.Alt4.Load13" "Treize balles restantes!"
"Reload.Alt4.Load12" "Douze balles restantes!"
"Reload.Alt4.Load11" "Onze balles restantes!"
"Reload.Alt4.Load10" "Dix balles restantes!"
"Reload.Alt4.Load9" "Neuf balles restantes!"
"Reload.Alt4.Load8" "Huit balles restantes!"
"Reload.Alt4.Load7" "Sept balles restantes!"
"Reload.Alt4.Load6" "Six balles restantes!"
"Reload.Alt4.Load5" "Cinq balles restantes!"
"Reload.Alt4.Load4" "Quatre balles restantes!"
"Reload.Alt4.Load3" "Trois balles restantes!"
"Reload.Alt4.Load2" "Deux balles restantes!"
"Reload.Alt4.Load1" "Une balle restante!"
"Reload.Alt4.Load0" "Zéro balle restante!"

//eng"Reload.Alt5.PlentyLoad"	"I have plenty of loads."
"Reload.Alt5.Load15" "Quinze balles restantes!"
"Reload.Alt5.Load14" "Quatorze balles restantes!"
"Reload.Alt5.Load13" "Treize balles restantes!"
"Reload.Alt5.Load12" "Douze balles restantes!"
"Reload.Alt5.Load11" "Onze balles restantes!"
"Reload.Alt5.Load10" "Dix balles restantes!"
"Reload.Alt5.Load9" "Neuf balles restantes!"
"Reload.Alt5.Load8" "Huit balles restantes!"
"Reload.Alt5.Load7" "Sept balles restantes!"
"Reload.Alt5.Load6" "Six balles restantes!"
"Reload.Alt5.Load5" "Cinq balles restantes!"
"Reload.Alt5.Load4" "Quatre balles restantes!"
"Reload.Alt5.Load3" "Trois balles restantes!"
"Reload.Alt5.Load2" "Deux balles restantes!"
"Reload.Alt5.Load1" "Une balle restante!"
"Reload.Alt5.Load0" "Zéro balle restante!"

//eng"Reload.Alt6.PlentyLoad"	"I have plenty of loads."
"Reload.Alt6.Load15" "Quinze balles restantes!"
"Reload.Alt6.Load14" "Quatorze balles restantes!"
"Reload.Alt6.Load13" "Treize balles restantes!"
"Reload.Alt6.Load12" "Douze balles restantes!"
"Reload.Alt6.Load11" "Onze balles restantes!"
"Reload.Alt6.Load10" "Dix balles restantes!"
"Reload.Alt6.Load9" "Neuf balles restantes!"
"Reload.Alt6.Load8" "Huit balles restantes!"
"Reload.Alt6.Load7" "Sept balles restantes!"
"Reload.Alt6.Load6" "Six balles restantes!"
"Reload.Alt6.Load5" "Cinq balles restantes!"
"Reload.Alt6.Load4" "Quatre balles restantes!"
"Reload.Alt6.Load3" "Trois balles restantes!"
"Reload.Alt6.Load2" "Deux balles restantes!"
"Reload.Alt6.Load1" "Une balle restante!"
"Reload.Alt6.Load0" "Zéro balle restante!"

//eng"Reload.Alt7.PlentyLoad"	"I have plenty of loads."
"Reload.Alt7.Load15" "Quinze balles restantes!"
"Reload.Alt7.Load14" "Quatorze balles restantes!"
"Reload.Alt7.Load13" "Treize balles restantes!"
"Reload.Alt7.Load12" "Douze balles restantes!"
"Reload.Alt7.Load11" "Onze balles restantes!"
"Reload.Alt7.Load10" "Dix balles restantes!"
"Reload.Alt7.Load9" "Neuf balles restantes!"
"Reload.Alt7.Load8" "Huit balles restantes!"
"Reload.Alt7.Load7" "Sept balles restantes!"
"Reload.Alt7.Load6" "Six balles restantes!"
"Reload.Alt7.Load5" "Cinq balles restantes!"
"Reload.Alt7.Load4" "Quatre balles restantes!"
"Reload.Alt7.Load3" "Trois balles restantes!"
"Reload.Alt7.Load2" "Deux balles restantes!"
"Reload.Alt7.Load1" "Une balle restante!"
"Reload.Alt7.Load0" "Zéro balle restante!"

//"Reload.Alt8.PlentyLoad"	"I have plenty of loads."
"Reload.Alt8.Load15" "Quinze balles restantes!"
"Reload.Alt8.Load14" "Quatorze balles restantes!"
"Reload.Alt8.Load13" "Treize balles restantes!"
"Reload.Alt8.Load12" "Douze balles restantes!"
"Reload.Alt8.Load11" "Onze balles restantes!"
"Reload.Alt8.Load10" "Dix balles restantes!"
"Reload.Alt8.Load9" "Neuf balles restantes!"
"Reload.Alt8.Load8" "Huit balles restantes!"
"Reload.Alt8.Load7" "Sept balles restantes!"
"Reload.Alt8.Load6" "Six balles restantes!"
"Reload.Alt8.Load5" "Cinq balles restantes!"
"Reload.Alt8.Load4" "Quatre balles restantes!"
"Reload.Alt8.Load3" "Trois balles restantes!"
"Reload.Alt8.Load2" "Deux balles restantes!"
"Reload.Alt8.Load1" "Une balle restante!"
"Reload.Alt8.Load0" "Zéro balle restante!"

//eng"Reload.FemaleDefault.PlentyLoad"	"I have plenty of loads."
"Reload.FemaleDefault.Load15" "Quinze balles restantes!"
"Reload.FemaleDefault.Load14" "Quatorze balles restantes!"
"Reload.FemaleDefault.Load13" "Treize balles restantes!"
"Reload.FemaleDefault.Load12" "Douze balles restantes!"
"Reload.FemaleDefault.Load11" "Onze balles restantes!"
"Reload.FemaleDefault.Load10" "Dix balles restantes!"
"Reload.FemaleDefault.Load9" "Neuf balles restantes!"
"Reload.FemaleDefault.Load8" "Huit balles restantes!"
"Reload.FemaleDefault.Load7" "Sept balles restantes!"
"Reload.FemaleDefault.Load6" "Six balles restantes!"
"Reload.FemaleDefault.Load5" "Cinq balles restantes!"
"Reload.FemaleDefault.Load4" "Quatre balles restantes!"
"Reload.FemaleDefault.Load3" "Trois balles restantes!"
"Reload.FemaleDefault.Load2" "Deux balles restantes!"
"Reload.FemaleDefault.Load1" "Une balle restante!"
"Reload.FemaleDefault.Load0" "Zéro balle restante!"

//eng"Reload.Default.PlentyLoad"	"I have plenty of loads."
"Reload.Default.Load10" "Dix balles restantes!"
"Reload.Default.Load9" "Neuf balles restantes!"
"Reload.Default.Load8" "Huit balles restantes!"
"Reload.Default.Load7" "Sept balles restantes!"
"Reload.Default.Load6" "Six balles restantes!"
"Reload.Default.Load5" "Cinq balles restantes!"
"Reload.Default.Load4" "Quatre balles restantes!"
"Reload.Default.Load3" "Trois balles restantes!"
"Reload.Default.Load2" "Deux balles restantes!"
"Reload.Default.Load1" "Une balle restante!"
"Reload.Default.Load0" "Zéro balle restante!"

//Survival mode

"NGSurvivalExtraction" "Rejoignez le point d'extracion, vite!"
"NGSurvivalSupply" "Attention, la FEMA vous envoie de l'approvisionnement sur votre position, out."
"NGSurvivalBegin" "Break break, ici la Garde National des Etats-Unis. Des zones sécurisées se situent dans votre région. Conformément à la Loi Nationale sur les cas de pandémie et à l'initiative Redeker de l'ONU, tenez bon jusqu'à ce que la zone soit dégagée. Vous serez extraits et emmenez en lieu sûr. Faîtes de votre mieux, out."
"NGSurvivalWaveStart" "Une horde de zombies s'approche de votre position! Soyez prêts!"
"NGSurvivalZoneA" "Zone A est attaquée! Protégez-la!"
"NGSurvivalZoneB" "Zone B est attaquée! Protégez-la!"
"NGSurvivalZoneC" "Zone C est attaquée! Protégez-la!"
"NGSurvivalZoneD" "Zone D est attaquée! Protégez-la!"
"NGSurvivalZoneE" "Zone E est attaquée! Protégez-la!"
"NGSurvivalZoneF" "Zone F est attaquée! Protégez-la!"
"SafeZone.Killed" "[ZONE DE SECURITE PERDUE, PROTEGEZ LES ZONES RESTANTES OU LES MILITAIRES PARTIRONT]"
"Wave.Complete" "[VAGUE TERMINEE]"
"NMRPlayer.TokenEarned" "[TICKET DE RESPAWN GAGNE]"
"NMRPlayer.TokenDenied" "[TICKETS DE RESPAWN INUTILISES RETIRES]"
"NMRPlayer.TokenUsed" "[TICKET DE RESPAWN UTILISE]"
"Wave.LowZombies" "[PREPAREZ-VOUS POUR PROCHAINE VAGUE]"

}
}
